file,split,method,stimulus,onset_s,first_alarm_s,delay_s,max_score_60s,longest_consecutive_gt_threshold_s,already_high_at_onset
ethylene_CO.txt,test,B1,ethylene_only,27869.01,27907,37.99,12.708035890140385,26,0
ethylene_CO.txt,test,B1,ethylene_only,28069.01,28106,36.99,8.30758384116936,27,0
ethylene_CO.txt,test,B1,ethylene_only,28269.01,28323,53.99,3.588278497737908,10,0
ethylene_CO.txt,test,B1,ethylene_only,32186.01,32227,40.99,5.792080467572682,23,0
ethylene_CO.txt,test,B1,ethylene_only,32488.01,32520,31.99,11.490084381023006,32,0
ethylene_CO.txt,test,B1,ethylene_only,32659.01,32709,49.99,3.997385827008888,14,0
ethylene_CO.txt,test,B1,ethylene_only,32889.01,32922,32.99,11.21053250439386,31,0
ethylene_CO.txt,test,B1,ethylene_only,33175.01,33201,25.99,14.955324252485767,38,0
ethylene_CO.txt,test,B1,ethylene_only,33379.01,33406,26.99,22.18475517377236,37,0
ethylene_CO.txt,test,B1,ethylene_only,36082.01,36119,36.99,7.862133131690277,27,0
ethylene_CO.txt,test,B1,ethylene_only,36317.01,36362,44.99,5.244233276824981,19,0
ethylene_methane.txt,train,B0,target_gas,9546.01,9565,18.99,23.910701545745503,45,0
ethylene_methane.txt,train,B0,target_gas,9942.01,9962,19.99,21.82448785820171,44,0
ethylene_methane.txt,train,B0,target_gas,10230.01,10248,17.99,36.77067048701662,46,0
ethylene_methane.txt,train,B0,target_gas,10532.01,10550,17.99,28.252431790235995,46,0
ethylene_methane.txt,train,B0,target_gas,10817.01,10835,17.99,37.31081548282532,46,0
ethylene_methane.txt,train,B0,target_gas,11044.01,11062,17.99,37.82004322709951,46,0
ethylene_methane.txt,train,B0,target_gas,11502.01,11521,18.99,18.108069331746936,45,0
ethylene_methane.txt,train,B0,ethylene_only,8802.01,,,3.7839005808040667,0,0
ethylene_methane.txt,train,B0,ethylene_only,9106.01,,,1.0464046839355765,0,0
ethylene_methane.txt,train,B0,ethylene_only,9309.01,,,3.6010765667300726,0,0
ethylene_methane.txt,train,B1,target_gas,9546.01,9565,18.99,10.475160204651068,45,1
ethylene_methane.txt,train,B1,target_gas,9942.01,9970,27.99,8.425176645510696,36,0
ethylene_methane.txt,train,B1,target_gas,10230.01,10254,23.99,14.171574552365353,40,0
ethylene_methane.txt,train,B1,target_gas,10532.01,10555,22.99,10.937915566662662,41,0
ethylene_methane.txt,train,B1,target_gas,10817.01,10842,24.99,14.332517794222227,39,0
ethylene_methane.txt,train,B1,target_gas,11044.01,11067,22.99,14.490172299812873,41,0
ethylene_methane.txt,train,B1,target_gas,11502.01,11530,27.99,6.714403879679259,36,0
ethylene_methane.txt,train,B1,ethylene_only,8802.01,8842,39.99,10.27352556600294,24,0
ethylene_methane.txt,train,B1,ethylene_only,9106.01,9166,59.99,2.7900999504897444,4,0
ethylene_methane.txt,train,B1,ethylene_only,9309.01,9343,33.99,11.344983392264528,30,0
ethylene_methane.txt,validation,B0,target_gas,14134.01,14154,19.99,24.199633567085893,44,0
ethylene_methane.txt,validation,B0,target_gas,14334.01,14352,17.99,33.372452313354906,46,0
ethylene_methane.txt,validation,B0,target_gas,14534.01,14552,17.99,29.23374535394094,46,0
ethylene_methane.txt,validation,B0,target_gas,15434.01,15454,19.99,24.256315194899138,44,0
ethylene_methane.txt,validation,B0,target_gas,15634.01,15652,17.99,33.4430673158597,46,0
ethylene_methane.txt,validation,B0,target_gas,15834.01,15852,17.99,29.3011037392841,46,0
ethylene_methane.txt,validation,B0,target_gas,16141.01,16160,18.99,34.63688545511175,45,0
ethylene_methane.txt,validation,B0,target_gas,16424.01,16443,18.99,19.4337186315421,45,0
ethylene_methane.txt,validation,B0,target_gas,16661.01,16679,17.99,37.54479724243839,46,0
ethylene_methane.txt,validation,B0,target_gas,16887.01,16906,18.99,20.74980419486258,45,0
ethylene_methane.txt,validation,B0,target_gas,19983.01,20003,19.99,33.486722475026404,44,0
ethylene_methane.txt,validation,B0,target_gas,20399.01,20420,20.99,20.702603857519918,43,0
ethylene_methane.txt,validation,B0,target_gas,21358.01,21379,20.99,18.561110124232446,43,0
