trial,configuration,scenario,gas_source,person_source,gas_detected_during_release,gas_false_file_before_release,steps,g2_seconds,p2_seconds,joint_l3_seconds,first_joint_l3_s,pre_release_joint_l3_seconds,unknown_seconds,paired_seconds,zone_mismatch_seconds,boundary_uncertain_seconds,gas_invalid_seconds,person_invalid_seconds,person_p2_gas_missing_lower_bound_fail,gas_g2_person_missing_lower_bound_fail
041_Et_M_Me_L,M/Me/L,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,157,35,39,85.0,0,10,205,10,0,0,0,0,0
041_Et_M_Me_L,M/Me/L,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,147,35,39,85.0,0,10,205,0,0,10,0,0,0
042_Et_L_CO_n,L/CO/n,S0_outside,UCI309_laboratory,simulation,1,0,215,143,0,0,,0,0,215,0,0,0,0,0,0
042_Et_L_CO_n,L/CO/n,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
042_Et_L_CO_n,L/CO/n,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,143,35,36,98.0,0,0,215,0,0,0,0,0,0
042_Et_L_CO_n,L/CO/n,S3_separate_events,UCI309_laboratory,simulation,1,0,215,143,12,0,,0,0,215,0,0,0,0,0,0
042_Et_L_CO_n,L/CO/n,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,131,35,24,98.0,0,10,205,0,0,10,0,0,0
042_Et_L_CO_n,L/CO/n,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,143,25,26,98.0,0,10,205,0,0,0,10,0,0
042_Et_L_CO_n,L/CO/n,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,143,35,26,98.0,0,10,205,10,0,0,0,0,0
042_Et_L_CO_n,L/CO/n,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,133,35,26,98.0,0,10,205,0,0,10,0,0,0
043_Et_n_Me_M,n/Me/M,S0_outside,UCI309_laboratory,simulation,1,0,215,150,0,0,,0,0,215,0,0,0,0,0,0
043_Et_n_Me_M,n/Me/M,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
043_Et_n_Me_M,n/Me/M,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,150,35,43,91.0,0,0,215,0,0,0,0,0,0
043_Et_n_Me_M,n/Me/M,S3_separate_events,UCI309_laboratory,simulation,1,0,215,150,12,0,,0,0,215,0,0,0,0,0,0
043_Et_n_Me_M,n/Me/M,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,138,35,31,91.0,0,10,205,0,0,10,0,0,0
043_Et_n_Me_M,n/Me/M,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,150,25,33,91.0,0,10,205,0,0,0,10,0,0
043_Et_n_Me_M,n/Me/M,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,150,35,33,91.0,0,10,205,10,0,0,0,0,0
043_Et_n_Me_M,n/Me/M,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,140,35,33,91.0,0,10,205,0,0,10,0,0,0
046_Et_n_CO_H,n/CO/H,S0_outside,UCI309_laboratory,simulation,1,0,215,161,0,0,,0,0,215,0,0,0,0,0,0
046_Et_n_CO_H,n/CO/H,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
046_Et_n_CO_H,n/CO/H,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,161,35,49,85.0,0,0,215,0,0,0,0,0,0
046_Et_n_CO_H,n/CO/H,S3_separate_events,UCI309_laboratory,simulation,1,0,215,161,12,0,,0,0,215,0,0,0,0,0,0
046_Et_n_CO_H,n/CO/H,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,149,35,37,85.0,0,10,205,0,0,10,0,0,0
046_Et_n_CO_H,n/CO/H,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,161,25,39,85.0,0,10,205,0,0,0,10,0,0
046_Et_n_CO_H,n/CO/H,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,161,35,39,85.0,0,10,205,10,0,0,0,0,0
046_Et_n_CO_H,n/CO/H,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,151,35,39,85.0,0,10,205,0,0,10,0,0,0
051_Et_H_Me_H,H/Me/H,S0_outside,UCI309_laboratory,simulation,1,0,215,159,0,0,,0,0,215,0,0,0,0,0,0
051_Et_H_Me_H,H/Me/H,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
051_Et_H_Me_H,H/Me/H,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,159,35,49,85.0,0,0,215,0,0,0,0,0,0
051_Et_H_Me_H,H/Me/H,S3_separate_events,UCI309_laboratory,simulation,1,0,215,159,12,0,,0,0,215,0,0,0,0,0,0
051_Et_H_Me_H,H/Me/H,S4_gas_dropout,UCI309_laboratory,simulation,1,0,215,147,35,37,85.0,0,10,205,0,0,10,0,0,0
051_Et_H_Me_H,H/Me/H,S4_person_dropout,UCI309_laboratory,simulation,1,0,215,159,25,39,85.0,0,10,205,0,0,0,10,0,0
051_Et_H_Me_H,H/Me/H,S4_wrong_zone,UCI309_laboratory,simulation,1,0,215,159,35,39,85.0,0,10,205,10,0,0,0,0,0
051_Et_H_Me_H,H/Me/H,S4_stale_gas,UCI309_laboratory,simulation,1,0,215,149,35,39,85.0,0,10,205,0,0,10,0,0,0
053_Et_M_Me_H,M/Me/H,S0_outside,UCI309_laboratory,simulation,1,0,215,157,0,0,,0,0,215,0,0,0,0,0,0
053_Et_M_Me_H,M/Me/H,S1_early_background,UCI309_laboratory,simulation,1,0,35,0,12,0,,0,0,35,0,0,0,0,0,0
053_Et_M_Me_H,M/Me/H,S2_possible_overlap,UCI309_laboratory,simulation,1,0,215,157,35,49,85.0,0,0,215,0,0,0,0,0,0
053_Et_M_Me_H,M/Me/H,S3_separate_events,UCI309_laboratory,simulation,1,0,215,157,12,0,,0,0,215,0,0,0,0,0,0
