trial,scenario,duration_s,buffer_m,position_error_bound_m,steps,g2_seconds,p2_seconds,joint_l3_seconds,first_joint_l3_s,pre_release_joint_l3_seconds,unknown_seconds,paired_seconds,zone_mismatch_seconds,boundary_uncertain_seconds,gas_invalid_seconds,person_invalid_seconds,person_p2_gas_missing_lower_bound_fail,gas_g2_person_missing_lower_bound_fail
012_Et_n_CO_H,S2_possible_overlap,5,1.0,0.2,215,158,32,40,86.0,0,10,205,0,10,0,10,0,0
012_Et_n_CO_H,S2_possible_overlap,5,1.0,0.5,215,158,15,15,95.0,0,41,174,0,41,0,41,0,0
012_Et_n_CO_H,S2_possible_overlap,5,2.0,0.0,215,158,35,57,83.0,0,0,215,0,0,0,0,0,0
012_Et_n_CO_H,S2_possible_overlap,5,2.0,0.2,215,158,32,48,83.0,0,15,200,0,15,0,15,0,0
012_Et_n_CO_H,S2_possible_overlap,5,2.0,0.5,215,158,15,23,83.0,0,45,170,0,45,0,45,0,0
014_Et_L_CO_n,S2_possible_overlap,1,0.5,0.0,215,152,35,42,89.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,1,0.5,0.2,215,152,32,35,89.0,0,11,204,0,11,0,11,0,0
014_Et_L_CO_n,S2_possible_overlap,1,0.5,0.5,215,152,15,15,95.0,0,32,183,0,32,0,32,0,0
014_Et_L_CO_n,S2_possible_overlap,1,1.0,0.0,215,152,35,45,89.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,1,1.0,0.2,215,152,32,37,89.0,0,10,205,0,10,0,10,0,0
014_Et_L_CO_n,S2_possible_overlap,1,1.0,0.5,215,152,15,15,95.0,0,41,174,0,41,0,41,0,0
014_Et_L_CO_n,S2_possible_overlap,1,2.0,0.0,215,152,35,51,89.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,1,2.0,0.2,215,152,32,42,89.0,0,15,200,0,15,0,15,0,0
014_Et_L_CO_n,S2_possible_overlap,1,2.0,0.5,215,152,15,20,95.0,0,45,170,0,45,0,45,0,0
014_Et_L_CO_n,S2_possible_overlap,3,0.5,0.0,215,150,35,40,91.0,0,0,215,0,0,0,0,0,0
